student_id,last_name,first_name,site_name,grade,race_ethnicity,gender,iep
166210,Waller,Albie,"Summit Public School: K2",12,"Two or More Races",M,FALSE
166220,Hogg,Kylan,"Summit Public School: K2",11,Hispanic,M,FALSE
166225,Kirk,India,"Summit Public School: K2",12,Asian,M,FALSE
166235,Neal,Arwen,"Summit Public School: K2",12,Hispanic,M,FALSE
166240,Dunn,Ella,"Summit Public School: K2",12,"Two or More Races",F,FALSE
166260,Couch,Nada,"Summit Public School: K2",12,Hispanic,M,TRUE
166265,Collins,Caius,"Summit Public School: K2",12,Hispanic,M,FALSE
166275,Travers,Cooper,"Summit Public School: K2",12,Asian,M,FALSE
166280,Albert,Ruby-May,"Summit Public School: K2",12,Hispanic,M,FALSE
166290,Stokes,Mahira,"Summit Public School: K2",12,Hispanic,M,FALSE
166300,Waters,Libbi,"Summit Public School: K2",12,Hispanic,F,FALSE
166305,Bird,Misbah,"Summit Public School: K2",12,Hispanic,M,FALSE
166310,Charles,Leonardo,"Summit Public School: K2",12,Hispanic,M,FALSE
166315,Copeland,Tracey,"Summit Public School: K2",12,Hispanic,M,FALSE
166320,Mckay,Jia,"Summit Public School: K2",12,Hispanic,F,FALSE
166335,Gonzalez,Daniele,"Summit Public School: K2",12,Asian,M,FALSE
166340,Booker,Georgie,"Summit Public School: K2",12,"Two or More Races",F,FALSE
166375,Person,Lea,"Summit Public School: K2",12,Hispanic,F,FALSE
166385,Welch,Ayman,"Summit Public School: K2",12,"Black or African American",F,FALSE
166390,Whelan,Shuaib,"Summit Public School: K2",12,Hispanic,M,FALSE
166395,Combs,Shiloh,"Summit Public School: K2",12,Hispanic,M,FALSE
166420,Bourne,Edison,"Summit Public School: K2",12,White,M,
166445,Bassett,Melisa,"Summit Public School: K2",12,"Black or African American",F,FALSE
166455,Emerson,Safiya,"Summit Public School: K2",12,Hispanic,M,FALSE
166475,Butler,Elora,"Summit Public School: K2",12,White,M,FALSE
166490,Chandler,Georgie,"Summit Public School: K2",12,White,M,FALSE
166500,Ferreira,Irene,"Summit Public School: K2",12,Hispanic,F,FALSE
166505,Fernandez,Rowan,"Summit Public School: K2",12,Hispanic,M,FALSE
166510,Cross,Aliesha,"Summit Public School: K2",12,,F,FALSE
166515,Sloan,Jun,"Summit Public School: K2",12,Hispanic,M,FALSE
166520,Krueger,Jagoda,"Summit Public School: K2",12,Hispanic,F,
166525,Kirk,Devon,"Summit Public School: K2",12,"Two or More Races",M,TRUE
166530,Wise,Alanah,"Summit Public School: K2",12,Hispanic,M,TRUE
166575,Byrd,Brandon-Lee,"Summit Public School: K2",12,Hispanic,M,FALSE
167200,Watt,Kashif,"Summit Public School: Denali",11,Hispanic,F,FALSE
167745,Hubbard,Rukhsar,"Summit Public School: Denali",12,Hispanic,F,FALSE
167750,Huff,Tania,"Summit Public School: Denali",12,Hispanic,F,FALSE
167755,Kidd,Kareem,"Summit Public School: Denali",12,White,M,FALSE
167760,Rowland,Breanna,"Summit Public School: Denali",12,Asian,M,FALSE
167885,Wells,Yousif,"Summit Public School: Denali",12,Asian,M,FALSE
167890,Chandler,Lexi,"Summit Public School: Denali",11,Hispanic,F,TRUE
168100,Hanson,Khadija,"Summit Public School: Denali",11,,M,FALSE
168635,Murillo,Katerina,"Summit Public School: Denali",11,White,F,FALSE
168640,Gilmour,Ellis,"Summit Public School: Denali",11,"Two or More Races",M,FALSE
168720,Villa,Suraj,"Summit Public School: Denali",12,"Black or African American",M,FALSE
168745,Southern,Javier,"Summit Public School: Denali",12,Hispanic,M,FALSE
168750,Peterson,Khushi,"Summit Public School: Denali",11,White,F,TRUE
168775,Chung,Benito,"Summit Public School: Denali",11,Hispanic,F,FALSE
168780,Melton,Rayyan,"Summit Public School: Denali",11,"Two or More Races",M,FALSE
168790,Vaughn,Jace,"Summit Preparatory Charter High School",11,Hispanic,F,FALSE
173295,Quintero,Maya,"Summit Preparatory Charter High School",12,Asian,M,FALSE
173330,Wise,Subhan,"Summit Preparatory Charter High School",11,Hispanic,M,FALSE
173685,Vu,Kajetan,"Summit Public School: K2",11,Hispanic,F,TRUE
173755,Gill,Albie,"Everest Public High School",12,White,M,FALSE
173835,Newman,Kiyan,"Summit Public School: Rainier",12,Hispanic,F,FALSE
174345,Taylor,Layton,"Summit Public School: Denali",10,"Two or More Races",F,FALSE
174350,Hartley,Zak,"Summit Public School: Denali",10,Hispanic,M,FALSE
174355,Bernard,Kiyan,"Summit Public School: Denali",10,Hispanic,M,FALSE
174370,Craft,Jerome,"Summit Public School: Denali",10,Hispanic,F,FALSE
174375,Calvert,Elouise,"Summit Public School: Denali",10,Hispanic,M,FALSE
174380,Simon,Marcos,"Summit Public School: Denali",10,"Black or African American",M,TRUE
174385,Mcintosh,Aaisha,"Summit Public School: Denali",10,White,F,FALSE
174390,Cruz,Ezra,"Summit Public School: Denali",10,Asian,F,FALSE
174395,Edge,Nikola,"Summit Public School: Denali",10,"Two or More Races",M,TRUE
174415,Dillon,Zakaria,"Summit Public School: Denali",9,Asian,F,FALSE
174425,Richard,Vivien,"Summit Public School: Denali",10,White,F,FALSE
174430,Alford,Bartlomiej,"Summit Public School: Denali",10,Hispanic,F,FALSE
174445,Daniel,Perry,"Summit Public School: Denali",10,Hispanic,M,FALSE
174450,Mann,Zi,"Summit Public School: Denali",10,Hispanic,F,FALSE
174455,Dudley,Elize,"Summit Public School: Denali",10,Hispanic,F,TRUE
174465,Drew,Menachem,"Summit Public School: Tahoma",10,Hispanic,F,FALSE
174485,Savage,Keelan,"Summit Public School: Denali",10,White,M,
174505,Werner,Poppy-Mae,"Summit Public School: Denali",10,"Two or More Races",M,FALSE
174510,Lang,Shaunie,"Summit Public School: Denali",10,Asian,M,TRUE
174515,Quintana,Mahir,"Summit Public School: Denali",10,Hispanic,M,FALSE
174550,Walker,Maxim,"Summit Public School: Denali",10,Hispanic,M,FALSE
174555,Bowes,Benedict,"Summit Public School: Denali",10,White,M,FALSE
174575,Griffith,Elena,"Summit Public School: Denali",10,Hispanic,F,FALSE
174580,Kay,Ioan,"Summit Public School: Denali",10,"Black or African American",F,FALSE
174585,Cassidy,Macauly,"Summit Public School: Rainier",10,White,M,FALSE
174595,Doherty,Cain,"Summit Public School: Denali",10,Hispanic,F,FALSE
174600,Galindo,Fallon,"Summit Public School: Denali",10,White,M,FALSE
174605,Ewing,Riaz,"Summit Public School: Denali",10,Hispanic,F,FALSE
174610,Blanchard,Eliot,"Summit Public School: Denali",10,Hispanic,F,FALSE
174625,Holman,Tarik,"Summit Public School: Denali",10,Hispanic,F,FALSE
174630,Bob,Jaydon,"Summit Public School: Denali",10,Hispanic,F,FALSE
174640,Murray,Vivian,"Summit Public School: Denali",10,Hispanic,F,FALSE
174645,East,Clive,"Summit Public School: Denali",11,White,M,FALSE
174955,Buchanan,Anabella,"Summit Public School: K2",11,Hispanic,F,FALSE
174965,Mccullough,Elinor,"Summit Public School: K2",11,"Black or African American",M,FALSE
174995,Burnett,Maysa,"Summit Public School: K2",11,"Two or More Races",M,FALSE
175000,Koch,Ciara,"Summit Public School: K2",11,Hispanic,M,FALSE
175005,Haley,Tiana,"Summit Public School: K2",11,Hispanic,F,FALSE
175010,Barber,Gareth,"Summit Public School: K2",11,"Two or More Races",M,FALSE
175020,Crosby,Nadia,"Summit Public School: K2",11,White,M,FALSE
175025,Cardenas,Kashif,"Summit Public School: K2",11,Hispanic,F,FALSE
175055,Obrien,Robyn,"Summit Public School: K2",11,Hispanic,F,FALSE
175060,Sheridan,Misha,"Summit Public School: K2",11,White,F,FALSE
175075,Gill,Ioan,"Summit Public School: K2",11,Hispanic,M,FALSE
175080,Hill,Huxley,"Summit Public School: K2",11,Hispanic,F,FALSE
175090,Edge,Callen,"Summit Public School: K2",11,Hispanic,M,FALSE
175100,Murphy,Tolga,"Summit Public School: K2",11,Hispanic,F,FALSE
175110,Everett,Eli,"Summit Public School: K2",11,Hispanic,M,FALSE
175115,Emerson,Grant,"Summit Public School: K2",11,Hispanic,M,FALSE
175120,Gay,Louisa,"Summit Public School: K2",11,Hispanic,M,FALSE
175135,Hanson,Zakary,"Summit Public School: K2",11,Hispanic,M,FALSE
175140,Mccann,Jonathan,"Summit Public School: K2",11,Hispanic,M,TRUE
175150,Frederick,Jayden-James,"Summit Public School: K2",11,Hispanic,M,FALSE
175155,Blevins,Marcelina,"Summit Public School: K2",11,Hispanic,M,FALSE
175160,Kirkpatrick,Mikey,"Summit Public School: K2",11,Asian,F,FALSE
175165,Hatfield,Jaden,"Summit Public School: K2",11,,F,FALSE
175175,Wardle,Sasha,"Summit Public School: K2",11,"Black or African American",M,TRUE
175180,Patel,Amy,"Summit Public School: K2",11,Asian,M,FALSE
175185,Hoffman,Arnas,"Summit Public School: K2",11,,F,FALSE
175190,Santos,Ernie,"Summit Public School: K2",11,Hispanic,M,TRUE
175215,Villanueva,Ines,"Summit Public School: K2",11,Hispanic,F,FALSE
175220,Prentice,Paolo,"Summit Public School: K2",11,Hispanic,F,FALSE
175225,Haines,Brody,"Summit Public School: K2",11,Hispanic,F,TRUE
175230,East,Faisal,"Summit Public School: K2",11,Hispanic,F,FALSE
175240,Millar,Oskar,"Summit Public School: K2",11,"Two or More Races",F,FALSE
175245,Sheehan,Lily,"Summit Public School: K2",11,White,F,FALSE
175255,Wilkinson,Haniya,"Summit Public School: K2",11,Hispanic,M,FALSE
175275,Nicholls,Brandy,"Summit Public School: K2",11,White,F,FALSE
175280,Maguire,Troy,"Summit Public School: K2",11,White,F,FALSE
175450,Henderson,Delores,"Summit Public School: K2",11,Hispanic,M,FALSE
175460,Gunn,Ritchie,"Summit Public School: K2",11,Hispanic,F,FALSE
175475,Howarth,Atticus,"Summit Public School: K2",11,"Two or More Races",M,FALSE
175480,English,Bob,"Summit Public School: K2",11,Hispanic,M,FALSE
175485,Haynes,Mark,"Summit Public School: K2",11,Asian,M,FALSE
175875,Wong,Eamonn,"Summit Public School: Denali",10,Hispanic,F,FALSE
175885,Carney,Eshaan,"Summit Public School: Denali",10,White,F,FALSE
175890,Wu,Russell,"Summit Public School: Denali",10,White,M,
175895,Cross,Gracie,"Summit Public School: Denali",10,White,M,FALSE
175900,Koch,Vicky,"Summit Public School: Denali",11,Asian,F,FALSE
175905,Matthams,Emme,"Summit Public School: Denali",10,White,M,TRUE
175920,Hammond,Roberto,"Summit Public School: K2",11,Hispanic,M,FALSE
175930,Redman,Kaiya,"Summit Public School: K2",11,Hispanic,F,TRUE
175965,Martins,Jorge,"Summit Public School: K2",11,Hispanic,M,FALSE
176110,Jensen,Shay,"Summit Public School: Denali",12,"Two or More Races",F,FALSE
176270,Garrison,Huxley,"Summit Public School: Denali",10,Hispanic,F,FALSE
176380,Goulding,Hetty,"Summit Public School: Denali",10,Hispanic,F,FALSE
176400,Compton,Alya,"Summit Public School: Denali",11,Hispanic,M,FALSE
176470,Ramos,Jess,"Summit Public School: Denali",12,White,F,FALSE
178535,Doyle,Anabella,"Summit Preparatory Charter High School",11,Hispanic,F,FALSE
178560,Ross,Tierney,"Summit Preparatory Charter High School",12,White,M,FALSE
178670,Travers,Keiran,"Everest Public High School",12,White,M,FALSE
178785,Wills,Davey,"Everest Public High School",12,Hispanic,M,FALSE
178835,Xiong,Pearl,"Everest Public High School",12,"Two or More Races",F,FALSE
179535,Cooke,Sana,"Summit Public School: Denali",10,Asian,F,FALSE
179560,Moore,Amar,"Summit Public School: Denali",10,Hispanic,F,FALSE
179565,Anthony,Jo,"Summit Public School: Denali",10,Hispanic,F,FALSE
179570,Rawlings,Alyssa,"Summit Public School: Denali",10,Hispanic,M,FALSE
179575,Mccann,Mariella,"Summit Public School: Denali",10,"Two or More Races",F,FALSE
179595,Frye,Kian,"Summit Public School: Denali",10,Hispanic,M,FALSE
179620,Guerra,Fallon,"Summit Public School: Denali",10,Hispanic,M,FALSE
179635,Charlton,Subhaan,"Summit Public School: Denali",10,Hispanic,M,FALSE
179655,Wills,Wil,"Summit Public School: Denali",10,"Two or More Races",M,FALSE
179675,Finley,Conner,"Summit Public School: Denali",10,Hispanic,M,FALSE
179730,Mccormack,Klaudia,"Summit Public School: Denali",10,Hispanic,M,FALSE
179740,Mullins,Charly,"Summit Public School: Denali",10,Asian,M,FALSE
179775,Morgan,Paul,"Summit Public School: Denali",10,,F,FALSE
179820,Delarosa,Emme,"Summit Public School: Denali",12,"Two or More Races",M,FALSE
179860,Senior,Nataniel,"Summit Public School: Denali",12,White,M,TRUE
180115,Schaefer,Hetty,"Summit Public School: K2",11,White,M,FALSE
180120,Callaghan,Jamie-Lee,"Summit Public School: K2",11,Hispanic,M,FALSE
180125,Aguirre,Domas,"Summit Public School: K2",11,Hispanic,M,TRUE
180130,Velasquez,Owen,"Summit Public School: K2",11,"Black or African American",F,FALSE
180140,Herring,Valerie,"Summit Public School: K2",11,White,F,FALSE
180145,Quinn,Kaisha,"Summit Public School: K2",11,Asian,M,FALSE
180165,Hammond,Tony,"Summit Public School: K2",11,Hispanic,M,FALSE
180175,Anthony,Arnav,"Summit Public School: K2",10,Hispanic,F,FALSE
180180,Alford,Vanesa,"Summit Public School: K2",11,Hispanic,F,FALSE
180195,Everett,Mila,"Summit Public School: K2",11,Hispanic,F,FALSE
180200,Buck,Danniella,"Summit Public School: K2",11,Asian,M,FALSE
180235,Page,Sami,"Summit Public School: K2",11,Hispanic,M,TRUE
180245,Young,Abbi,"Summit Public School: K2",11,Asian,F,FALSE
180250,Bowes,Alysha,"Summit Public School: K2",11,Hispanic,M,FALSE
180260,Pollard,Romany,"Summit Public School: K2",11,Hispanic,M,FALSE
180265,Pham,Shay,"Summit Public School: K2",10,"Two or More Races",F,FALSE
180575,Merritt,Usmaan,"Summit Public School: Denali",10,Hispanic,F,TRUE
180605,Snow,Farrell,"Summit Public School: K2",12,Hispanic,M,FALSE
180610,Pollard,Tiana,"Summit Public School: K2",12,Hispanic,F,FALSE
180805,Khan,Farah,"Summit Public School: Denali",11,Hispanic,M,FALSE
180815,Romero,Robbie,"Summit Public School: Denali",11,White,M,FALSE
180955,Villa,Huseyin,"Summit Public School: Denali",11,Hispanic,M,FALSE
181060,Daniel,Berat,"Summit Public School: Denali",10,White,M,FALSE
181065,Maguire,Jane,"Summit Public School: Tahoma",12,Hispanic,M,FALSE
181080,Brookes,Aaryan,"Summit Public School: Denali",12,Hispanic,F,FALSE
181135,Workman,Cruz,"Summit Public School: Denali",11,Asian,M,FALSE
181140,Esparza,Aden,"Summit Public School: Rainier",12,Hispanic,M,FALSE
181210,Hanson,Corrie,"Summit Public School: Denali",10,White,M,FALSE
181350,Delarosa,Hadi,"Summit Public School: Denali",11,Hispanic,F,TRUE
181430,Haines,Ciara,"Summit Public School: Denali",10,"Black or African American",F,FALSE
181455,Bowen,Lilian,"Summit Public School: Denali",10,Hispanic,F,FALSE
181655,Barry,Isma,"Summit Public School: Shasta",12,Asian,F,FALSE
181695,Barrera,Kyra,"Everest Public High School",12,White,F,FALSE
182915,Richardson,Gracie,"Summit Public School: Rainier",12,Hispanic,M,FALSE
182930,Dominguez,Karam,"Summit Public School: Rainier",12,Asian,M,FALSE
182940,Drake,Willow,"Summit Public School: Rainier",12,Asian,M,FALSE
182945,Hamilton,Arman,"Summit Public School: Rainier",12,Hispanic,F,FALSE
182950,Blair,Shaunie,"Summit Public School: Rainier",12,Hispanic,M,FALSE
182955,Maddox,Jaylen,"Summit Public School: Rainier",12,Hispanic,M,FALSE
182965,Glenn,Mohammad,"Summit Public School: Rainier",12,Hispanic,F,FALSE
182970,Bender,Ceara,"Summit Public School: Rainier",12,Hispanic,F,TRUE
182980,Kennedy,Jemimah,"Summit Public School: Rainier",12,White,F,FALSE
182985,Hayes,Cairo,"Summit Public School: Rainier",12,Hispanic,F,FALSE
182990,Pearce,Aras,"Summit Public School: Rainier",12,Hispanic,M,FALSE
182995,Richardson,Jaspal,"Summit Public School: Rainier",12,Hispanic,M,FALSE
183000,Rios,Robbie,"Summit Public School: Rainier",12,Hispanic,F,FALSE
183005,Kaye,Jimmie,"Summit Public School: Rainier",12,Hispanic,F,FALSE
183015,Andrade,Remy,"Summit Public School: Rainier",12,Hispanic,F,FALSE
183030,Frank,Sydney,"Summit Public School: Rainier",12,White,M,FALSE
183035,Sandoval,Niall,"Summit Public School: Rainier",12,Hispanic,F,FALSE
183045,Hays,Adyan,"Summit Public School: Rainier",12,White,M,TRUE
183050,Ewing,Nettie,"Summit Public School: Rainier",12,White,M,FALSE
183055,Gould,Tanvir,"Summit Public School: Rainier",12,"Two or More Races",M,TRUE
183070,Simpson,Avani,"Summit Public School: Rainier",12,Hispanic,F,FALSE
183080,Calderon,Teagan,"Summit Public School: Rainier",12,Asian,F,FALSE
183120,Brown,Hussain,"Summit Public School: Rainier",12,White,F,FALSE
183135,Barrera,Priscilla,"Summit Public School: Rainier",12,"Black or African American",M,FALSE
183150,Bains,Marcia,"Summit Public School: Rainier",12,Hispanic,M,FALSE
183155,Griffin,Donna,"Summit Public School: Rainier",12,Hispanic,M,FALSE
183160,Waters,Klaudia,"Summit Public School: Rainier",12,Hispanic,M,TRUE
183185,Firth,Landon,"Summit Public School: Rainier",12,Hispanic,M,FALSE
183200,Whitmore,Cleveland,"Summit Public School: Rainier",12,White,M,FALSE
183205,Welch,Russell,"Summit Public School: Rainier",12,White,F,FALSE
183210,Walter,Jo,"Summit Public School: Rainier",12,Hispanic,M,FALSE
183215,Walter,Lani,"Summit Public School: Rainier",12,Hispanic,M,FALSE
183225,Callaghan,Haiden,"Summit Public School: Rainier",12,Hispanic,F,FALSE
183230,Collins,Roscoe,"Summit Public School: Rainier",12,Hispanic,M,FALSE
183235,Mason,Ezmae,"Summit Public School: Rainier",12,White,F,FALSE
183240,Butler,Kaylen,"Summit Public School: Rainier",12,Hispanic,M,FALSE
183250,Vaughn,Alix,"Summit Public School: Rainier",12,Asian,F,FALSE
183285,Lawson,Sahar,"Summit Public School: Rainier",12,Hispanic,M,FALSE
183320,Day,Billy-Joe,"Summit Public School: Rainier",12,"Black or African American",M,TRUE
183345,Roach,Larry,"Summit Public School: Tahoma",12,Asian,F,FALSE
183355,Schroeder,Billy,"Summit Public School: Rainier",12,Hispanic,M,FALSE
184900,Marriott,Otto,"Everest Public High School",12,Hispanic,M,FALSE
184905,Cox,Bradleigh,"Everest Public High School",12,Asian,M,FALSE
184915,Richardson,Ayman,"Everest Public High School",12,Hispanic,M,FALSE
184930,Barber,Muhammad,"Everest Public High School",12,Hispanic,M,FALSE
184935,Knapp,Brandy,"Summit Preparatory Charter High School",12,Hispanic,M,FALSE
184940,Blanchard,Lennie,"Everest Public High School",12,Asian,M,FALSE
184945,Hebert,Landon,"Everest Public High School",12,Hispanic,F,FALSE
184950,Esquivel,Kason,"Everest Public High School",12,"American Indian or Alaska Native",M,FALSE
184955,Cooke,Ismail,"Everest Public High School",12,Hispanic,M,FALSE
184960,Soto,Gracie,"Everest Public High School",12,"Two or More Races",F,FALSE
184965,Maddox,Cally,"Everest Public High School",12,Hispanic,F,FALSE
